Case ID,Case type,Case name,Version,Keywords,Auto type,Workloading,Priority,Creator,Category folder,Execution Type,Status,OS,Phase,Owner,Objective,Release notes,Type matrix,Case tools
4576PA,SW,Android 4.0 ICS : Preloaded application test <Root> 4576PA,1,none,-100,0,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Single,Active,,"SIT,FVT",eb72153,,,NULL,
4602PA,SW,Preloaded lenovo application test 4602PA,1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,,"SIT,FVT",eb72153,,,Android 4.0,
4604PA,SW,Preloaded third party application test 4604PA,1.1,none,-100,480,,eb72153,ROOT: Android 4.0 ICS : Preloaded application test <Root> - 4576PA,Matrix,Active,,"SIT,FVT",eb72153,,,Android 4.0,
